"","forecast","actual"
"1",0.0719592660066174,0.419704562152351
"2",0.125996324522881,-0.0613364409715196
"3",-0.0309218962422412,-0.304575912949463
"4",-0.0182561335266045,0.288789682609892
"5",0.0396882698230646,-0.0421464430405489
"6",0.0271718321498091,0.000789362879244138
"7",-0.0335319961834071,0.151677219878087
"8",-0.0114062447804504,0.0139242004018012
"9",0.0292593511820537,-0.226977249162152
"10",0.00516475696453043,-0.208088521640265
"11",-0.0243349577681466,0.476903116986618
"12",3.59683114510128e-05,0.0926466704930053
"13",0.0192508442502303,-0.221523998545603
"14",-0.00345624506858738,-0.305726285894284
"15",-0.0150556497819202,0.258174780529849
"16",0.00507183522002881,0.0622220819381685
"17",0.0109331340385368,-0.26525758599082
"18",-0.00615274557805488,0.27629275244275
"19",-0.00795928418681031,-0.0104614897422639
"20",0.00601151292252734,0.118213580181136
"21",0.00509589273995764,0.202453815926889
"22",-0.00592315158789906,0.00587490578774919
"23",-0.00333018220584294,-0.444949604181829
"24",0.00504493474880878,-0.288205488535324
"25",0.00155660722644655,0.0047663282401551
"26",-0.00455265732793555,0.176959726841138
"27",-0.000730972610750787,-0.0592558939835612
"28",0.00350978207922104,0.0383102403389834
"29",-0.000262982772751723,0.00301373364272983
"30",-0.00301756890543392,-0.158793242946619
"31",0.000465076534907439,-0.263791444035586
"32",0.00208002681978963,0.387824247122245
"33",-0.000978118667967628,0.0123776599559786
"34",-0.00175328258983869,0.018334113323661
"35",0.000823523550975895,0.115119556481059
"36",0.0010083190955294,0.0570405609661151
"37",-0.00108381054556342,-0.225753934232984
"38",-0.000878284915560198,-0.296062859725259
"39",0.000760283585495069,0.402035464529218
"40",0.000319179025002885,-0.0807903465786133
"41",-0.000916847608877583,0.0487504130116729
"42",-0.000355310167428311,0.186384396517971
"43",0.000538425809337846,-0.0173879942193977
"44",-6.16264768890937e-05,-0.395573975386251
"45",-0.000675095050999242,-0.288755844487694
"46",-9.15710346506257e-05,0.430885591939193
"47",0.000300531955230963,-0.0215699699249292
"48",-0.000232387991368707,-0.0053601779437642
"49",-0.000455989685465095,0.124900229966235
"50",8.00034487898014e-06,0.0631266095478775
"51",0.000108476340905801,-0.223099720309028
"52",-0.000279589975976971,-0.401912426737592
"53",-0.00029441265514654,0.431911049720776
"54",1.84647694009928e-05,0.0251093660867134
"55",-2.25196828224556e-05,0.0127358753922167
"56",-0.000265836426569509,0.126910637694074
"57",-0.000191965213862605,-0.0248286198188055
"58",-9.83687243634176e-06,-0.205356003165791
"59",-9.96771432320493e-05,-0.241588183333359
"60",-0.000230170309495092,0.422363064224722
"61",-0.000136278327195468,0.00822844875803241
"62",-4.77670637094399e-05,0.072761332717878
"63",-0.000137809574537191,-0.0144057578595689
"64",-0.000193393962956109,-0.285665280921673
"65",-0.000111991025644994,0.0805681274045398
"66",-8.12823663719399e-05,-0.252006198605917
"67",-0.000151574321894613,0.224923020740988
"68",-0.000164263909435374,-0.0593244789081258
"69",-0.0001059015889503,0.054365427911705
"70",-0.000105608885319235,0.0876666695487724
"71",-0.00015233630486219,0.0120656965289854
"72",-0.000144678955943879,-0.255016404545412
"73",-0.000108599717167402,-0.229732970497084
"74",-0.000120817197877229,0.423576406366156
"75",-0.000147609930289202,0.0156455004979001
"76",-0.000133313601734419,-0.0199537035701436
"77",-0.000114299267188767,0.119548821255499
"78",-0.000128944614481244,0.0609641809323378
"79",-0.000141678869440289,-0.373487646418385
"80",-0.000127814974871297,-0.121230352758106
"81",-0.000119971532534195,0.352610793990078
"82",-0.000132384450261782,-0.0826494853028112
"83",-0.000136561282040716,0.0565983177915417
"84",-0.000125928077747324,-0.0440201030908138
"85",-0.000124383225927324,0.13141752581879
"86",-0.000133148525567439,-0.226149527138105
"87",-0.000132903785460454,-0.199664635481151
"88",-0.000125934660756416,0.469187856797985
"89",-0.000127307367592845,0.10267068022072
"90",-0.000132649423589479,0.17576310585412
"91",-0.000130649356509047,-0.0431170276887354
"92",-0.000126714574859077,-0.282645175413698
"93",-0.000128978738268691,-0.0100594254165536
"94",-0.000131743385346971,-0.250733682381902
"95",-0.000129465614058298,0.317689685216251
"96",-0.000127639134796775,-0.0419480069855709
"97",-0.000129769349316923,0.00537458493006682
"98",-0.000130870404908624,0.169709517959944
"99",-0.000128980717294501,0.0124289668075477
"100",-0.000128419232274977,-0.277930654371167
"101",-0.000130025423151871,-0.164498245322971
"102",-0.000130203239140178,0.350039358480581
"103",-0.000128888583054935,-0.103722221769953
"104",-0.000128968389083261,0.0741214181796934
"105",-0.000130006368726902,0.261593066864819
"106",-0.000129767243340711,0.277531488867362
"107",-0.000128977454863028,-0.340341994385437
"108",-0.000129302088142315,-0.325191424122449
