"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Nov-2015","     8054.55","     8060.70","     7995.60","     8050.80","      140323983","         6552.67"
"03-Nov-2015","     8086.35","     8100.35","     8031.75","     8060.70","      136625382","         5955.64"
"04-Nov-2015","     8104.90","     8116.10","     8027.30","     8040.20","      125935846","         5696.01"
"05-Nov-2015","     8030.35","     8031.20","     7944.10","     7955.45","      136223827","         6001.38"
"06-Nov-2015","     7956.55","     8002.65","     7926.15","     7954.30","      226329409","         8771.77"
"09-Nov-2015","     7788.25","     7937.75","     7771.70","     7915.20","      218422388","         9376.17"
"10-Nov-2015","     7877.60","     7885.10","     7772.85","     7783.35","      170267413","         7153.47"
"11-Nov-2015","     7838.80","     7847.95","     7819.10","     7825.00","       22380435","         1123.44"
"13-Nov-2015","     7762.45","     7775.10","     7730.90","     7762.25","      165876819","         7731.55"
"16-Nov-2015","     7732.95","     7838.85","     7714.15","     7806.60","      154134885","         6871.15"
"17-Nov-2015","     7848.75","     7860.45","     7793.00","     7837.55","      149451211","         6367.14"
"18-Nov-2015","     7823.15","     7843.40","     7725.05","     7731.80","      148037721","         6112.32"
"19-Nov-2015","     7788.50","     7854.90","     7765.45","     7842.75","      136702518","         7410.15"
"20-Nov-2015","     7841.90","     7906.95","     7817.80","     7856.55","      156610433","         7298.01"
"23-Nov-2015","     7869.50","     7877.50","     7825.20","     7849.25","      130871603","         6099.09"
"24-Nov-2015","     7837.00","     7870.35","     7812.65","     7831.60","      134562905","         6686.27"
"26-Nov-2015","     7837.15","     7897.10","     7832.00","     7883.80","      226632193","        11054.04"
"27-Nov-2015","     7910.60","     7959.30","     7879.45","     7942.70","      154863047","         7068.72"
"30-Nov-2015","     7936.25","     7966.00","     7922.80","     7935.25","      223041699","        15368.67"
"01-Dec-2015","     7958.15","     7972.15","     7934.15","     7954.90","      142945421","         6796.67"
"02-Dec-2015","     7976.70","     7979.30","     7910.80","     7931.35","      130207404","         6242.53"
"03-Dec-2015","     7902.30","     7912.30","     7853.30","     7864.15","      129628400","         5636.41"
"04-Dec-2015","     7817.60","     7821.40","     7775.70","     7781.90","      157231681","         7758.36"
"07-Dec-2015","     7816.55","     7825.40","     7746.05","     7765.40","      141893279","         6403.97"
"08-Dec-2015","     7738.50","     7771.25","     7685.45","     7701.70","      139318392","         5986.06"
"09-Dec-2015","     7695.50","     7702.85","     7606.90","     7612.50","      144315690","         6599.60"
"10-Dec-2015","     7643.30","     7691.95","     7610.00","     7683.30","      145249292","         6492.02"
"11-Dec-2015","     7699.60","     7703.05","     7575.30","     7610.45","      172996480","         6894.44"
"14-Dec-2015","     7558.20","     7663.95","     7551.05","     7650.05","      153492615","         6290.42"
"15-Dec-2015","     7659.15","     7705.00","     7625.10","     7700.90","      138479057","         6152.14"
"16-Dec-2015","     7725.25","     7776.60","     7715.75","     7750.90","      159149338","         6703.76"
"17-Dec-2015","     7783.05","     7852.90","     7737.55","     7844.35","      181256780","         7367.15"
"18-Dec-2015","     7828.90","     7836.15","     7753.35","     7761.95","      197319843","         8074.50"
"21-Dec-2015","     7745.65","     7840.75","     7733.45","     7834.45","      130174102","         5558.38"
"22-Dec-2015","     7829.40","     7846.30","     7776.85","     7786.10","      129633328","         5028.11"
"23-Dec-2015","     7830.45","     7871.45","     7826.10","     7865.95","      121480721","         4663.45"
"24-Dec-2015","     7888.75","     7888.75","     7835.50","     7861.05","       96374245","         3383.99"
"28-Dec-2015","     7863.20","     7937.20","     7863.00","     7925.15","      126737811","         5755.48"
"29-Dec-2015","     7929.20","     7942.15","     7902.75","     7928.95","      116535971","         4950.36"
"30-Dec-2015","     7938.60","     7944.75","     7889.85","     7896.25","      110145855","         4392.87"
"31-Dec-2015","     7897.80","     7955.55","     7891.15","     7946.35","      155645098","         6780.85"
"01-Jan-2016","     7938.45","     7972.55","     7909.80","     7963.20","       64843836","         2613.91"
"04-Jan-2016","     7924.55","     7937.55","     7781.10","     7791.30","      138864905","         5897.08"
"05-Jan-2016","     7828.40","     7831.20","     7763.25","     7784.65","      149672973","         5948.51"
"06-Jan-2016","     7788.05","     7800.95","     7721.20","     7741.00","      151715828","         6722.17"
"07-Jan-2016","     7673.35","     7674.95","     7556.60","     7568.30","      194732861","         7803.21"
"08-Jan-2016","     7611.65","     7634.10","     7581.05","     7601.35","      162348690","         6753.57"
"11-Jan-2016","     7527.45","     7605.10","     7494.35","     7563.85","      194836791","         7327.15"
"12-Jan-2016","     7587.20","     7588.30","     7487.80","     7510.30","      168975973","         7071.48"
"13-Jan-2016","     7557.90","     7590.95","     7425.80","     7562.40","      221908258","         9585.17"
"14-Jan-2016","     7467.40","     7604.80","     7443.80","     7536.80","      206988549","         9246.75"
"15-Jan-2016","     7561.65","     7566.50","     7427.30","     7437.80","      203643071","         8279.07"
"18-Jan-2016","     7420.35","     7463.65","     7336.40","     7351.00","      240798183","         8431.56"
"19-Jan-2016","     7381.80","     7462.75","     7364.15","     7435.10","      194068339","         7038.84"
"20-Jan-2016","     7357.00","     7470.90","     7241.50","     7309.30","      232614141","         8794.16"
"21-Jan-2016","     7376.65","     7398.70","     7250.00","     7276.80","      248113284","         9401.16"
"22-Jan-2016","     7355.70","     7433.40","     7327.60","     7422.45","      236282061","         7666.39"
"25-Jan-2016","     7468.75","     7487.15","     7421.20","     7436.15","      168202502","         5910.99"
"27-Jan-2016","     7469.60","     7477.90","     7419.70","     7437.75","      193389891","         6834.77"
"28-Jan-2016","     7426.50","     7468.85","     7409.60","     7424.65","      283036298","        10049.88"
"29-Jan-2016","     7413.35","     7575.65","     7402.80","     7563.55","      307934042","        11277.33"
"01-Feb-2016","     7589.50","     7600.45","     7541.25","     7555.95","      206645021","         8209.50"
"02-Feb-2016","     7566.65","     7576.30","     7428.05","     7455.55","      237338907","         8030.99"
"03-Feb-2016","     7392.45","     7419.40","     7350.30","     7361.80","      197863301","         6748.17"
"04-Feb-2016","     7411.45","     7457.05","     7365.95","     7404.00","      229563364","         7465.35"
"05-Feb-2016","     7418.25","     7503.15","     7406.65","     7489.10","      257518899","         8628.24"
"08-Feb-2016","     7489.70","     7512.55","     7363.20","     7387.25","      176758985","         5746.45"
"09-Feb-2016","     7303.95","     7323.45","     7275.15","     7298.20","      218730280","         7415.13"
"10-Feb-2016","     7264.30","     7271.85","     7177.75","     7215.70","      254481339","         8129.65"
"11-Feb-2016","     7203.60","     7208.65","     6959.95","     6976.35","      301302956","         9250.27"
"12-Feb-2016","     7023.65","     7034.80","     6869.00","     6980.95","      344210729","        11062.63"
"15-Feb-2016","     7057.35","     7182.80","     7056.80","     7162.95","      365217073","        10204.34"
"16-Feb-2016","     7201.25","     7204.65","     7037.70","     7048.25","      261607451","         7638.39"
"17-Feb-2016","     7058.85","     7123.70","     6960.65","     7108.45","      268017961","         7686.32"
"18-Feb-2016","     7177.40","     7215.10","     7127.85","     7191.75","      254331498","         8051.51"
"19-Feb-2016","     7170.55","     7226.85","     7145.95","     7210.75","      198206480","         6156.58"
