Year,Australia,Brazil,Canada,China,France,Germany,India,Netherlands,Philippines,SA,UK,US
1970,18031.58733,2372.806207,17912.90906,144.5929033,17235.84209,16932.48725,273.260596,19812.71032,825.8384677,4781.854229,17534.9729,20547.95857
1971,18129.39788,2577.296431,18373.4561,150.5223718,18007.40242,17430.92045,271.5840156,20426.40771,845.9444405,4872.769826,17811.91801,20991.42352
1972,18493.00373,2819.616694,19067.41279,152.4495831,18661.5493,18093.72701,264.0390399,20727.74497,866.7482612,4841.189324,18395.36752,21914.6625
1973,18695.13911,3138.547143,20052.69171,160.7796303,19722.31846,18898.5391,266.5924326,21746.03532,917.4381017,4949.18479,19702.61528,22989.58515
1974,18978.00242,3342.528705,20423.35981,161.1143898,20482.84583,19059.32037,263.625544,22494.55376,923.4841468,5135.716572,19359.45909,22662.19009
1975,18977.42744,3434.552877,20405.98272,172.0649976,20115.30842,18964.70338,281.1665846,22322.35776,947.8371595,5109.120929,19229.84813,22395.85504
1976,19281.76053,3682.718027,21184.89995,166.7122941,20883.56856,19988.83759,279.2669319,23208.17524,1002.986347,5112.413178,19774.04379,23386.1536
1977,19747.02115,3762.477093,21661.4682,176.9544233,21535.35322,20704.72523,292.6118178,23513.83295,1030.318533,5001.220986,20248.02907,24225.95453
1978,19691.88938,3793.600059,22293.03264,195.0306841,22289.94339,21346.19523,302.1872999,23914.29153,1054.239671,5044.518279,20936.023,25319.31622
1979,20285.21057,3956.179,22911.53988,207.0723155,22970.39075,22222.31381,279.7787439,24229.98511,1083.562008,5121.950866,21491.79491,25829.68608
1980,20652.04789,4216.76552,23106.26748,220.4417185,23244.08196,22488.69134,291.8169541,24820.51114,1108.513479,5335.259964,20998.35506,25509.517
1981,21018.26561,3938.644025,23620.8433,228.9530442,23352.93266,22573.30335,302.3623218,24457.64695,1115.444152,5486.250937,20713.23666,25902.31233
1982,21340.02171,3870.956664,22670.56187,246.1361639,23783.97984,22505.5704,305.8828769,24043.6792,1124.616773,5329.930291,21154.35992,25148.49092
1983,20587.04837,3654.982009,23054.34904,269.0491579,23934.09549,22919.45553,320.9203302,24448.48309,1114.85183,5099.127284,21913.5931,26044.94593
1984,21321.35902,3763.654421,24161.34804,305.9045058,24145.60589,23648.06209,325.8785941,25097.20008,1005.467372,5221.867997,22463.30972,27678.15117
1985,22097.07853,3977.449504,25082.06753,342.5058167,24389.61893,24252.7155,335.5478254,25624.97785,907.0853639,5026.376871,23219.09405,28562.06183
1986,22734.93499,4208.662014,25432.39662,367.1446087,24795.81462,24796.10609,344.0042658,26193.37355,913.0907358,4899.964858,24094.84988,29269.19665
1987,22981.027,4275.757559,26168.56008,403.21528,25243.33471,25105.18946,350.0277707,26530.35523,927.2434533,4879.582264,25140.56133,29927.48329
1988,23885.1223,4191.973985,27117.92804,441.6108102,26274.84449,25934.37966,375.6720658,27266.58412,963.9975454,4964.618689,26347.08759,30872.92791
1989,24404.78455,4252.147296,27336.314,452.7223682,27229.2105,26737.35475,389.8141312,28301.54287,997.6627845,4971.196674,26878.12438,31673.00735
1990,24908.54061,3999.429014,26983.03833,463.0809221,27801.22224,27900.86792,403.0912068,29283.09206,1002.436121,4855.523681,26382.23415,31898.50294
1991,24506.77591,3993.057042,26061.51765,498.8314952,28019.22123,29113.22202,399.327788,29761.85867,972.6514309,4708.025794,25833.10002,31392.8714
1992,24314.89162,3911.570921,25968.89469,562.7267155,28292.15315,29445.09572,413.1102788,30041.62634,953.1111666,4512.274347,25984.28768,32014.62688
1993,25067.98107,4031.129036,26286.94223,634.1757795,27981.68428,28959.02595,424.5814852,30208.15112,951.0327393,4472.486096,26723.31932,32502.81819
1994,25808.21788,4181.664946,27286.26964,709.1916226,28504.09419,29572.0703,444.4841367,30915.67436,970.3857416,4519.510245,27875.25782,33427.71144
1995,26515.62483,4300.069777,27821.22483,777.9944407,28982.63635,29979.75377,469.4711217,31721.92922,993.0838848,4560.64003,28685.53933,33873.99635
1996,27214.6373,4325.679012,27968.69744,846.8707987,29188.43814,30129.48454,495.9154831,32651.54229,1027.834372,4652.369054,29503.46619,34749.84595
1997,27961.59436,4403.812072,28844.12733,916.2047374,29720.49729,30608.10114,506.9798654,33873.70026,1057.420252,4667.476348,30563.5426,35880.97867
1998,28923.58685,4339.170424,29767.20851,978.2368519,30611.49889,31173.25653,529.0992791,34986.31631,1028.538041,4582.606131,31545.68787,37026.10801
1999,30011.71769,4286.172733,31155.0235,1043.508392,31457.03381,31736.01383,564.2093646,36382.27975,1037.574629,4578.789023,32436.32926,38385.53612
2000,30796.59974,4406.713243,32497.23507,1122.285046,32392.11113,32662.12507,576.9294844,37546.7841,1060.550031,4652.338808,33689.56968,39544.95555
2001,30961.27887,4402.511201,32744.68229,1206.63801,32747.67684,33101.01967,595.6028441,37982.09246,1068.592392,4682.779452,34535.29976,39583.61008
2002,31782.52467,4458.333914,33401.30842,1307.651394,32812.53987,33048.76775,608.9871158,37769.22898,1084.897352,4788.055929,35245.6138,39934.95799
2003,32381.89405,4450.926292,33692.28082,1429.485043,32874.04921,32906.465,647.0993277,37717.60645,1116.058959,4866.92248,36442.49443,40603.85346
2004,33336.18705,4647.527247,34397.06911,1564.543048,33463.4863,33295.78034,687.3073952,38427.40816,1167.812024,5028.801375,37313.35578,41629.71122
2005,33947.56415,4739.305437,35087.89259,1731.125235,33818.96875,33542.78138,740.1159323,39122.29108,1200.938178,5234.313052,38121.56298,42516.39347
2006,34468.24637,4874.601481,35785.96982,1940.114735,34412.6373,34823.12176,797.2596415,40385.25892,1241.546615,5465.96404,38873.20598,43228.11115
2007,35232.59109,5121.02886,36182.91384,2204.069679,34982.1285,36009.62477,863.4645906,41877.42407,1301.22125,5706.278485,40027.05196,43635.58521
2008,35930.46468,5336.079146,36005.5005,2403.314497,34759.22685,36468.95863,885.1734161,42467.27331,1332.826879,5848.042299,39376.93604,43069.58199
2009,35861.25432,5271.138037,34583.4307,2611.398465,33492.68705,34686.96731,947.7479852,40699.90108,1325.902811,5697.231708,37556.52741,41366.28989
2010,36134.53563,5618.3246,35277.26794,2869.093824,33898.38084,36184.5533,1034.243194,41151.36885,1403.306336,5794.23636,37949.77374,42000.96516
2011,36584.99437,5721.289504,35794.26989,3120.929717,34405.38342,37271.08845,1085.729046,41366.40786,1433.476404,5923.99456,38032.39671,42446.78168
